N,batch,avl_insert_us,avl_find_us,avl_erase_us,map_insert_us,map_find_us,map_erase_us
100,50,102,7,68,10,0,9
200,50,98,8,74,9,0,9
300,50,119,8,74,13,0,8
400,50,111,10,87,7,0,8
500,50,109,11,92,13,0,8
600,50,132,11,96,12,0,10
700,50,141,11,96,10,0,14
800,50,120,12,104,8,0,12
900,50,123,12,104,8,0,11
1000,50,119,11,97,7,0,10
1100,50,129,11,100,22,0,10
1200,50,142,12,105,7,0,11
1300,50,119,11,101,7,0,10
1400,50,128,12,107,7,0,9
1500,50,131,12,105,8,0,11
1600,50,128,13,110,7,0,10
1700,50,128,13,114,8,0,10
1800,50,128,13,116,7,0,9
1900,50,130,13,111,7,0,10
2000,50,130,13,114,7,0,10
2100,50,136,13,117,7,0,10
2200,50,140,13,112,7,0,9
2300,50,138,13,115,9,0,10
2400,50,138,12,110,9,0,9
2500,50,138,13,115,9,0,10
2600,50,138,13,114,9,0,10
2700,50,138,12,110,9,0,11
2800,50,138,13,156,47,0,14
2900,50,241,14,125,9,0,12
3000,50,139,14,120,7,0,10
3100,50,138,14,123,8,0,11
3200,50,138,14,125,8,0,10
3300,50,138,14,121,8,0,10
3400,50,141,14,124,9,0,12
3500,50,139,14,127,7,0,11
3600,50,138,14,122,8,0,11
3700,50,139,14,125,8,0,11
3800,50,139,13,118,8,0,11
3900,50,139,14,128,8,0,12
4000,50,139,14,124,8,0,10
4100,50,143,14,120,8,0,10
4200,50,150,14,126,8,0,10
4300,50,150,14,124,7,0,10
4400,50,150,14,119,7,0,10
4500,50,217,20,444,17,0,19
4600,50,149,14,125,11,0,11
4700,50,149,14,122,10,0,12
4800,50,150,14,123,10,0,12
4900,50,221,14,131,11,0,14
5000,50,149,14,122,65,0,56
5100,50,148,14,123,7,0,11
5200,50,149,13,118,8,0,11
5300,50,149,14,124,7,0,10
5400,50,149,14,123,8,0,11
5500,50,149,14,118,8,0,11
5600,50,149,15,135,59,0,10
5700,50,148,15,134,7,0,11
5800,50,148,15,130,7,0,10
5900,50,148,15,133,7,0,11
6000,50,151,15,136,11,0,13
6100,50,148,15,132,8,0,13
6200,50,151,15,134,9,0,11
6300,50,150,15,138,85,0,13
6400,50,151,15,135,12,0,13
6500,50,151,15,133,9,0,12
6600,50,151,14,127,8,0,11
6700,50,149,15,134,9,0,11
6800,50,149,15,134,10,0,11
6900,50,149,15,130,10,0,11
7000,50,149,15,135,11,0,11
7100,50,148,15,134,9,0,12
7200,50,148,15,128,7,0,10
7300,50,147,15,132,7,0,11
7400,50,148,15,134,7,0,11
7500,50,150,15,130,8,0,12
7600,50,148,15,133,8,0,12
7700,50,149,15,137,9,0,12
7800,50,148,15,132,8,0,11
7900,50,148,15,133,8,0,11
8000,50,148,14,128,7,0,10
8100,50,148,15,134,8,0,11
8200,50,149,15,132,7,0,10
8300,50,157,15,128,8,0,10
8400,50,158,15,135,8,0,11
8500,50,159,15,134,8,0,10
8600,50,159,15,130,8,0,10
8700,50,159,15,133,7,0,11
8800,50,160,15,135,8,0,10
8900,50,158,15,130,9,0,11
9000,50,158,15,197,9,0,26
9100,50,223,22,144,16,0,12
9200,50,158,15,132,54,0,13
9300,50,158,15,133,8,0,11
9400,50,158,14,127,7,0,11
9500,50,158,15,134,8,0,11
9600,50,157,15,133,8,0,11
9700,50,158,15,130,8,0,12
9800,50,158,15,136,8,0,11
9900,50,158,15,134,8,0,12
10000,50,158,15,129,8,0,11
1000,50,119,10,95,7,0,10
2000,50,129,11,102,19,0,9
3000,50,134,12,108,7,0,9
4000,50,128,13,111,8,0,10
5000,50,153,11,106,8,0,9
6000,50,150,13,118,10,0,13
7000,50,139,14,123,8,0,11
8000,50,138,14,126,9,0,10
9000,50,148,14,123,8,0,10
10000,50,234,14,125,10,0,11
11000,50,147,14,119,8,0,12
12000,50,148,15,132,8,0,10
13000,50,148,14,129,8,0,11
14000,50,158,15,136,8,0,12
15000,50,148,15,135,7,0,11
16000,50,148,15,132,9,0,10
17000,50,152,15,135,13,0,16
18000,50,159,15,129,11,0,13
19000,50,149,15,134,9,0,11
20000,50,148,15,136,8,0,11
21000,50,159,14,125,9,0,11
22000,50,157,15,134,8,0,12
23000,50,157,16,140,9,0,11
24000,50,158,16,142,8,0,10
25000,50,169,15,138,9,0,13
26000,50,158,16,144,8,0,11
27000,50,158,16,145,8,0,12
28000,50,170,29,150,12,0,22
29000,50,160,16,144,11,0,12
30000,50,158,16,137,8,0,11
31000,50,167,16,142,10,0,12
32000,50,157,16,146,9,0,13
33000,50,218,16,142,8,0,12
34000,50,166,16,144,9,0,11
35000,50,157,16,139,8,0,11
36000,50,167,16,143,10,0,12
37000,50,157,15,139,8,0,11
38000,50,158,16,144,9,0,11
39000,50,167,16,145,9,0,12
40000,50,158,16,141,8,0,11
41000,50,160,16,143,9,0,11
42000,50,167,16,139,9,0,11
43000,50,167,16,143,10,0,13
44000,50,167,18,155,9,0,11
45000,50,167,17,152,10,0,12
46000,50,167,17,154,9,0,11
47000,50,169,17,149,10,0,11
48000,50,179,17,152,9,0,11
49000,50,179,17,146,10,0,11
50000,50,169,18,155,10,0,12
51000,50,169,17,155,9,0,12
52000,50,169,17,151,10,0,11
53000,50,169,17,154,10,0,12
54000,50,179,17,146,10,0,13
55000,50,179,17,152,9,0,11
56000,50,238,18,155,10,0,11
57000,50,173,18,154,17,0,17
58000,50,170,17,155,12,0,12
59000,50,169,17,149,10,0,14
60000,50,179,17,153,11,0,14
61000,50,179,16,149,10,0,12
62000,50,169,17,154,11,0,12
63000,50,171,17,155,11,0,13
64000,50,169,17,152,47,0,14
65000,50,170,17,154,13,0,14
66000,50,180,17,149,10,0,12
67000,50,179,17,168,11,0,26
68000,50,168,18,156,13,0,14
69000,50,167,17,153,11,0,12
70000,50,168,17,154,13,0,15
71000,50,167,17,150,11,0,13
72000,50,177,17,152,11,0,11
73000,50,168,17,147,13,0,13
74000,50,167,18,155,11,0,12
75000,50,167,17,155,11,0,12
76000,50,167,17,151,11,0,13
77000,50,177,17,153,13,0,12
78000,50,177,17,147,11,0,12
79000,50,167,17,152,11,0,11
80000,50,169,18,156,12,0,13
81000,50,167,17,153,11,0,12
82000,50,170,17,153,12,0,12
83000,50,178,17,149,13,0,13
84000,50,177,17,151,11,0,12
85000,50,177,17,149,44,0,12
86000,50,368,27,216,24,0,23
87000,50,177,18,165,11,0,12
88000,50,177,18,160,9,0,12
89000,50,177,18,162,9,0,11
90000,50,177,18,158,10,0,11
91000,50,177,18,162,9,0,12
92000,50,178,19,165,11,0,14
93000,50,177,19,162,10,0,13
94000,50,177,18,163,10,0,12
95000,50,187,18,160,10,0,13
96000,50,186,18,162,10,0,12
97000,50,186,18,156,10,0,12
98000,50,189,19,165,11,0,13
99000,50,178,18,164,10,0,12
100000,50,177,18,161,10,0,11
